3.5 qid:4 1:0.0 2:0.220004021971 3:0.251620505724 4:0.191690888483 5:0.0 6:0.305936595911 7:0.215486754447 8:0.0 9:0.370102440231 10:0.187380035173 11:0.0 12:0.0 13:0.444623420761 14:0.245984981818 15:0.0 16:0.395700317656 17:0.0 18:0.0 19:0.0 20:0.0 21:0.0 22:0.0 23:0.0 24:0.14391528788 25:0.0 26:0.0 27:0.0 28:0.0 29:0.322385126416 30:0.0 31:0.0 32:0.0 33:0.250258764698 34:0.0 35:0.0 36:0.11628421388 37:0.351387881098 38:0.0 39:0.284952808634 40:0.269176146669 41:0.0 42:0.207104928755 43:0.481541796218 44:0.10014366832 45:0.0 46:0.317702794152 47:0.109220016071 48:0.0893077387859 49:0.413308306259 50:0.0 51:0.0 52:0.0 53:0.0 54:0.161509370501 55:0.0 56:0.12171040529 57:0.0 58:0.171333230389 59:0.0 60:0.0 61:0.0 62:0.0 63:0.0199960011996 64:0.99980005998 65:0.0 66:0.0 67:0.998617829333 68:0.0525588331228 69:0.761350609068 70:0.648340381337 71:1.0
1.5 qid:4 1:0.0 2:0.157799586175 3:0.180476753655 4:0.137491772219 5:0.0 6:0.219435389399 7:0.154559541108 8:0.0 9:0.265458837468 10:0.403199338032 11:0.0 12:0.157525565016 13:0.531515978444 14:0.176434630551 15:0.0 16:0.283819113014 17:0.177097150794 18:0.165199158216 19:0.0 20:0.0 21:0.0 22:0.0 23:0.0 24:0.206448706421 25:0.0 26:0.0 27:0.0 28:0.211647725953 29:0.231233225109 30:0.0 31:0.0 32:0.0 33:0.250258764698 34:0.0 35:0.0 36:0.11628421388 37:0.351387881098 38:0.0 39:0.284952808634 40:0.269176146669 41:0.0 42:0.207104928755 43:0.481541796218 44:0.10014366832 45:0.0 46:0.317702794152 47:0.109220016071 48:0.0893077387859 49:0.413308306259 50:0.0 51:0.0 52:0.0 53:0.0 54:0.161509370501 55:0.0 56:0.12171040529 57:0.0 58:0.171333230389 59:0.0 60:0.0 61:0.0 62:0.0 63:0.00942767141751 64:0.989905498839 65:0.0 66:0.141415071263 67:0.998617829333 68:0.0525588331228 69:0.73924790582 70:0.673433392208 71:1.0
3.0 qid:4 1:0.0 2:0.0 3:0.0 4:0.153254370733 5:0.0 6:0.0 7:0.172278855899 8:0.0 9:0.295892084561 10:0.299615799224 11:0.0 12:0.175584916474 13:0.3554706387 14:0.0 15:0.0 16:0.316357254439 17:0.0 18:0.184138240635 19:0.557178059949 20:0.0 21:0.0 22:0.0 23:0.0 24:0.230116799578 25:0.0 26:0.243469841012 27:0.0 28:0.235911855193 29:0.0 30:0.0 31:0.0 32:0.0 33:0.250258764698 34:0.0 35:0.0 36:0.11628421388 37:0.351387881098 38:0.0 39:0.284952808634 40:0.269176146669 41:0.0 42:0.207104928755 43:0.481541796218 44:0.10014366832 45:0.0 46:0.317702794152 47:0.109220016071 48:0.0893077387859 49:0.413308306259 50:0.0 51:0.0 52:0.0 53:0.0 54:0.161509370501 55:0.0 56:0.12171040529 57:0.0 58:0.171333230389 59:0.0 60:0.0 61:0.0 62:0.0 63:0.0128194593251 64:0.999917827355 65:0.0 66:0.0 67:0.998617829333 68:0.0525588331228 69:0.714715808304 70:0.699414979365 71:1.0
2.5 qid:4 1:0.0 2:0.0 3:0.0 4:0.206585317011 5:0.0 6:0.164853971808 7:0.116115063766 8:0.0 9:0.398859489604 10:0.302909264031 11:0.0 12:0.118343331608 13:0.399308973662 14:0.132549037284 15:0.0 16:0.426446328313 17:0.0 18:0.124108228149 19:0.375535149816 20:0.0 21:0.0 22:0.0 23:0.0 24:0.232646310981 25:0.0 26:0.164097421977 27:0.0 28:0.159003378366 29:0.173717264465 30:0.0 31:0.0 32:0.0 33:0.250258764698 34:0.0 35:0.0 36:0.11628421388 37:0.351387881098 38:0.0 39:0.284952808634 40:0.269176146669 41:0.0 42:0.207104928755 43:0.481541796218 44:0.10014366832 45:0.0 46:0.317702794152 47:0.109220016071 48:0.0893077387859 49:0.413308306259 50:0.0 51:0.0 52:0.0 53:0.0 54:0.161509370501 55:0.0 56:0.12171040529 57:0.0 58:0.171333230389 59:0.0 60:0.0 61:0.0 62:0.0 63:0.00657880499624 64:0.999978359428 65:0.0 66:0.0 67:0.998617829333 68:0.0525588331228 69:0.750278945762 70:0.661121398494 71:1.0
1.0 qid:4 1:0.0 2:0.0 3:0.0 4:0.137240009495 5:0.0 6:0.0 7:0.154276525402 8:0.249477786088 9:0.264972752818 10:0.268307356806 11:0.0 12:0.157237118189 13:0.530542713583 14:0.176111559123 15:0.0 16:0.283299408658 17:0.176772866218 18:0.0 19:0.498955572177 20:0.0 21:0.0 22:0.0 23:0.0 24:0.103035337941 25:0.0 26:0.0 27:0.0 28:0.211260175431 29:0.0 30:0.0 31:0.0 32:0.0 33:0.250258764698 34:0.0 35:0.0 36:0.11628421388 37:0.351387881098 38:0.0 39:0.284952808634 40:0.269176146669 41:0.0 42:0.207104928755 43:0.481541796218 44:0.10014366832 45:0.0 46:0.317702794152 47:0.109220016071 48:0.0893077387859 49:0.413308306259 50:0.0 51:0.0 52:0.0 53:0.0 54:0.161509370501 55:0.0 56:0.12171040529 57:0.0 58:0.171333230389 59:0.0 60:0.0 61:0.0 62:0.0 63:0.011903918403 64:0.999929145853 65:0.0 66:0.0 67:0.998617829333 68:0.0525588331228 69:0.686898275374 70:0.726753575353 71:1.0
1.0 qid:4 1:0.0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 7:0.234502096666 8:0.379209110115 9:0.0 10:0.407830274619 11:0.0 12:0.239002231824 13:0.483858623528 14:0.0 15:0.0 16:0.0 17:0.268696793979 18:0.0 19:0.379209110115 20:0.0 21:0.0 22:0.0 23:0.0 24:0.156614901165 25:0.0 26:0.0 27:0.0 28:0.321117901454 29:0.0 30:0.0 31:0.0 32:0.0 33:0.250258764698 34:0.0 35:0.0 36:0.11628421388 37:0.351387881098 38:0.0 39:0.284952808634 40:0.269176146669 41:0.0 42:0.207104928755 43:0.481541796218 44:0.10014366832 45:0.0 46:0.317702794152 47:0.109220016071 48:0.0893077387859 49:0.413308306259 50:0.0 51:0.0 52:0.0 53:0.0 54:0.161509370501 55:0.0 56:0.12171040529 57:0.0 58:0.171333230389 59:0.0 60:0.0 61:0.0 62:0.0 63:0.0370116605099 64:0.999314833767 65:0.0 66:0.0 67:0.998617829333 68:0.0525588331228 69:0.697984897807 70:0.716112478898 71:1.0
1.0 qid:4 1:0.0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 7:0.234502096666 8:0.379209110115 9:0.0 10:0.407830274619 11:0.0 12:0.239002231824 13:0.483858623528 14:0.0 15:0.0 16:0.0 17:0.268696793979 18:0.0 19:0.379209110115 20:0.0 21:0.0 22:0.0 23:0.0 24:0.156614901165 25:0.0 26:0.0 27:0.0 28:0.321117901454 29:0.0 30:0.0 31:0.0 32:0.0 33:0.250258764698 34:0.0 35:0.0 36:0.11628421388 37:0.351387881098 38:0.0 39:0.284952808634 40:0.269176146669 41:0.0 42:0.207104928755 43:0.481541796218 44:0.10014366832 45:0.0 46:0.317702794152 47:0.109220016071 48:0.0893077387859 49:0.413308306259 50:0.0 51:0.0 52:0.0 53:0.0 54:0.161509370501 55:0.0 56:0.12171040529 57:0.0 58:0.171333230389 59:0.0 60:0.0 61:0.0 62:0.0 63:0.0370116605099 64:0.999314833767 65:0.0 66:0.0 67:0.998617829333 68:0.0525588331228 69:0.67754400294 70:0.735482239133 71:1.0
2.5 qid:4 1:0.423899065303 2:0.0 3:0.0 4:0.344348691211 5:0.0 6:0.0 7:0.193547493192 8:0.0 9:0.0 10:0.16830239137 11:0.0 12:0.197261702537 13:0.266236777054 14:0.0 15:0.0 16:0.0 17:0.0 18:0.206870974906 19:0.625964319312 20:0.0 21:0.0 22:0.0 23:0.0 24:0.129262901901 25:0.0 26:0.27352734118 27:0.0 28:0.0 29:0.0 30:0.0 31:0.0 32:0.0 33:0.250258764698 34:0.0 35:0.0 36:0.11628421388 37:0.351387881098 38:0.0 39:0.284952808634 40:0.269176146669 41:0.0 42:0.207104928755 43:0.481541796218 44:0.10014366832 45:0.0 46:0.317702794152 47:0.109220016071 48:0.0893077387859 49:0.413308306259 50:0.0 51:0.0 52:0.0 53:0.0 54:0.161509370501 55:0.0 56:0.12171040529 57:0.0 58:0.171333230389 59:0.0 60:0.0 61:0.0 62:0.0 63:0.0227214053533 64:0.999741835545 65:0.0 66:0.0 67:0.998617829333 68:0.0525588331228 69:0.701731326629 70:0.712441678475 71:1.0
1.0 qid:5 1:0.0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.272781064552 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0 19:0.0 20:0.800083684041 21:0.463998796881 22:0.0 23:0.0 24:0.264880550148 25:0.0 26:0.0 27:0.0 28:0.0 29:0.0 30:0.0 31:0.163870892699 32:0.0 33:0.132010787715 34:0.0 35:0.0 36:0.184018777823 37:0.0 38:0.194261582557 39:0.0 40:0.0 41:0.0 42:0.0 43:0.381017895096 44:0.158476501978 45:0.0 46:0.0 47:0.0 48:0.141328735804 49:0.0 50:0.240853755372 51:0.0 52:0.223354403288 53:0.283299414085 54:0.511174405793 55:0.302877469937 56:0.0 57:0.285331552879 58:0.0 59:0.266929486587 60:0.0 61:0.0 62:0.0 63:0.099503719021 64:0.99503719021 65:0.0 66:0.0 67:0.0 68:1.0 69:0.709325114819 70:0.704881466267 71:1.0
1.0 qid:5 1:0.0 2:0.170861812059 3:0.0 4:0.148872971812 5:0.0 6:0.0 7:0.167353564766 8:0.270624430535 9:0.0 10:0.0 11:0.0 12:0.0 13:0.230205377383 14:0.191039415354 15:0.0 16:0.0 17:0.0 18:0.0 19:0.0 20:0.33760328402 21:0.195788916501 22:0.237053100905 23:0.310473657677 24:0.447075951611 25:0.319379716965 26:0.0 27:0.297393460235 28:0.0 29:0.250374090378 30:0.0 31:0.163870892699 32:0.0 33:0.132010787715 34:0.0 35:0.0 36:0.184018777823 37:0.0 38:0.194261582557 39:0.0 40:0.0 41:0.0 42:0.0 43:0.381017895096 44:0.158476501978 45:0.0 46:0.0 47:0.0 48:0.141328735804 49:0.0 50:0.240853755372 51:0.0 52:0.223354403288 53:0.283299414085 54:0.511174405793 55:0.302877469937 56:0.0 57:0.285331552879 58:0.0 59:0.266929486587 60:0.0 61:0.0 62:0.0 63:0.00906509906383 64:0.707077726979 65:0.0 66:0.707077726979 67:0.0 68:1.0 69:0.687148803875 70:0.726516704097 71:1.0
